"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Posts","4","0","Write","0"
"0","","0","Posts","10","0","Read","0"
"0","","0","Users","3","0","Read","0"
"0","","0","Schema validation","4","0","Models reject malformed data","0"
"0","","0","Cross-resource flows","2","0","Post → Comments","0"
"0","","0","Cross-resource flows","5","0","User → Posts","0"
"0","","0","HTTP client resilience","2","0","Retry policy","0"
"0","","0","Comments","3","0","Read","0"
"0","","0","HTTP client resilience","1","0","Timeout","0"
"0","","0","Cross-resource flows","2","0","Comment creation","0"
